question,cypher,type,ground_truth,answer,latency,retrieved_contexts,context_recall,faithfulness,answer_correctness
Hello,"RETURN ""Hello! I'm a knowledge assistant focused on folktales from all around the world. You can ask me about their characters, relationships, themes or how they are structured."" AS ground_truth",greeting,"Hello! I'm a knowledge assistant focused on folktales from all around the world. You can ask me about their characters, relationships, themes or how they are structured.","Hello! I'm a knowledge assistant focused on folktales from all around the world. You can ask me about their characters, relationships, themes or how they are structured.",2.881686,[],1.0,2.5,0.923076923076923
What can you do?,"RETURN ""I can answer questions about folktales: their narrative structure, the characters that make them up and their features, the relevant places and objects that appear, among others."" AS ground_truth",greeting,"I can answer questions about folktales: their narrative structure, the characters that make them up and their features, the relevant places and objects that appear, among others.","I can answer questions about folktales: their narrative structure, the characters that make them up and their features, the relevant places and objects that appear, among others.",0.277205,[],1.0,1.6666666666666667,0.8000000000000002
How is the weather today?,"RETURN ""This question is outside my scope."" AS ground_truth",out_of_scope,This question is outside my scope.,This question is outside my scope.,0.404452,[],1.0,0.0,1.0
Who won the last football World Cup?,"RETURN ""This question is outside my scope."" AS ground_truth",out_of_scope,This question is outside my scope.,This question is outside my scope.,0.43737,[],1.0,0.0,0.6666666666666666
What is the capital of France?,RETURN 'This question is outside my scope.' AS ground_truth,out_of_scope,This question is outside my scope.,This question is outside my scope.,0.420081,[],1.0,0.5,1.0
Which movies did Momotaro appear in?,"RETURN ""This question is outside my scope."" AS ground_truth",out_of_scope,This question is outside my scope.,I don't know,4.76553,[],1.0,1.0,0.8
What is Momotaro's surname?,"RETURN ""This information is not in the knowledge base."" AS ground_truth",missing_data,This information is not in the knowledge base.,The surname of Momotaro is not specified in the knowledge base.,16.590887,"['{\'description\': ""Momotaro is the son of the old couple. He goes on a journey to get treasure from the Ogres\' Island.""}']",1.0,1.0,0.6666666666666666
Hold old is Momotaro?,"RETURN ""This information is not in the knowledge base."" AS ground_truth",missing_data,This information is not in the knowledge base.,Momotaro is young.,3.339423,"[""{'a.ageGroup': 'young'}""]",0.0,1.0,0.0
What is the town population in 'Sharing Joy and Sorrow'?,"RETURN ""This information is not in the knowledge base."" AS ground_truth",missing_data,This information is not in the knowledge base.,This information is not in the knowledge base.,3.991384,[],1.0,1.0,1.0
List all Genre nodes in the graph,MATCH (g:Genre) RETURN g.name AS ground_truth ORDER BY g.name,aggregation,fable; fairy_tale; legend; myth,"The Genre nodes in the graph are:

1. Fable
2. Fairy Tale
3. Legend
4. Myth",5.370556,"[""{'g': {'name': 'fable', 'description': 'A short story, usually featuring animals as characters, that conveys a moral lesson.'}}"", ""{'g': {'name': 'fairy_tale', 'description': 'A fantastical narrative involving magical elements, often with fairies, witches or magical creatures, and typically having a happy ending.'}}"", ""{'g': {'name': 'legend', 'description': 'A traditional story that has its roots in history or is based on real events, often featuring heroic figures.'}}"", ""{'g': {'name': 'myth', 'description': 'A story involving gods, goddesses or supernatural beings, usually explaining natural phenomena or cultural practices.'}}""]",1.0,1.0,1.0
How many Folktale nodes are in the graph?,"MATCH (f:Folktale) RETURN toString(count(f)) + "" folktale(s)"" AS ground_truth",aggregation,5 folktale(s),There are 5 folktale nodes in the graph.,3.216929,"[""{'total_folktales': 5}""]",1.0,1.0,0.6666666666666666
How many Event nodes are in the graph?,"MATCH (e:Event) RETURN toString(count(e)) + "" event(s)"" AS ground_truth",aggregation,95 event(s),There are 95 Event nodes in the graph.,2.900466,"[""{'count(e)': 95}""]",1.0,1.0,0.5
How many Character nodes are in the graph?,"MATCH (a:Character) RETURN toString(count(a)) + "" character(s)"" AS ground_truth",aggregation,24 character(s),There are 24 Character nodes in the graph.,2.776808,"[""{'count(n)': 24}""]",1.0,1.0,0.6666666666666666
How many Place nodes are in the graph?,"MATCH (p:Place) RETURN toString(count(p)) + "" place(s)"" AS ground_truth",aggregation,18 place(s),There are 18 Place nodes in the graph.,2.814678,"[""{'count(p)': 18}""]",1.0,1.0,0.6666666666666666
How many Object nodes are in the graph?,"MATCH (o:Object) RETURN toString(count(o)) + "" place(s)"" AS ground_truth",aggregation,12 place(s),There are 12 Object nodes in the graph.,2.752216,"[""{'count(o)': 12}""]",1.0,1.0,0.6666666666666666
How many typed relationships are in the graph?,MATCH ()-[r]->() RETURN count(DISTINCT type(r)) AS ground_truth,aggregation,14,There are 14 typed relationships in the graph.,3.179449,"[""{'total_relationships': 14}""]",1.0,1.0,0.8
