question,cypher,type,ground_truth,answer,latency,retrieved_contexts,context_recall,faithfulness,answer_correctness
Hello,"RETURN ""Hello! I'm a knowledge assistant focused on folktales from all around the world. You can ask me about their characters, relationships, themes or how they are structured."" AS ground_truth",greeting,"Hello! I'm a knowledge assistant focused on folktales from all around the world. You can ask me about their characters, relationships, themes or how they are structured.","Hello! I'm a knowledge assistant focused on folktales from all around the world. You can ask me about their characters, relationships, themes or how they are structured.",6.732575,[],1.0,1.0,0.8571428571428571
What can you do?,"RETURN ""I can answer questions about folktales: their narrative structure, the characters that make them up and their features, the relevant places and objects that appear, among others."" AS ground_truth",greeting,"I can answer questions about folktales: their narrative structure, the characters that make them up and their features, the relevant places and objects that appear, among others.","I can answer questions about folktales: their narrative structure, the characters that make them up and their features, the relevant places and objects that appear, among others.",2.901758,[],1.0,1.0,0.8333333333333333
How is the weather today?,"RETURN ""This question is outside my scope."" AS ground_truth",out_of_scope,This question is outside my scope.,This question is outside my scope.,2.511961,[],1.0,0.0,1.0
Who won the last football World Cup?,"RETURN ""This question is outside my scope."" AS ground_truth",out_of_scope,This question is outside my scope.,This question is outside my scope.,3.684238,[],1.0,0.0,0.6666666666666666
What is the capital of France?,RETURN 'This question is outside my scope.' AS ground_truth,out_of_scope,This question is outside my scope.,This question is outside my scope.,2.545287,[],1.0,0.5,1.0
Which movies did Momotaro appear in?,"RETURN ""This question is outside my scope."" AS ground_truth",out_of_scope,This question is outside my scope.,This information is not in the knowledge base.,22.84015,[],1.0,1.0,0.6666666666666666
What is Momotaro's surname?,"RETURN ""This information is not in the knowledge base."" AS ground_truth",missing_data,This information is not in the knowledge base.,This information is not in the knowledge base.,46.949569,"['{\'description\': ""Momotaro is the son of the old couple. He goes on a journey to get treasure from the Ogres\' Island.""}']",1.0,1.0,1.0
Hold old is Momotaro?,"RETURN ""This information is not in the knowledge base."" AS ground_truth",missing_data,This information is not in the knowledge base.,Momotaro is a young boy.,26.784619,"[""{'age': 'young'}""]",1.0,1.0,0.6666666666666666
What is the town population in 'Sharing Joy and Sorrow'?,"RETURN ""This information is not in the knowledge base."" AS ground_truth",missing_data,This information is not in the knowledge base.,This information is not in the knowledge base.,23.517894,[],1.0,1.0,1.0
List all Genre nodes in the graph,MATCH (g:Genre) RETURN g.name AS ground_truth ORDER BY g.name,aggregation,fable; fairy_tale; legend; myth,"The genre nodes in the graph are:

1. Fable
2. Fairy Tale
3. Legend
4. Myth",23.029962,"[""{'g': {'name': 'fable', 'description': 'A short story, usually featuring animals as characters, that conveys a moral lesson.'}}"", ""{'g': {'name': 'fairy_tale', 'description': 'A fantastical narrative involving magical elements, often with fairies, witches or magical creatures, and typically having a happy ending.'}}"", ""{'g': {'name': 'legend', 'description': 'A traditional story that has its roots in history or is based on real events, often featuring heroic figures.'}}"", ""{'g': {'name': 'myth', 'description': 'A story involving gods, goddesses or supernatural beings, usually explaining natural phenomena or cultural practices.'}}""]",1.0,1.0,0.6666666666666666
